Lintang (deg), Bujur (deg), Tanggal (dd/mm/yyy), Waktu Akuisisi (UTC), Tingkat Kepercayaan (%), Satelit, Kecamatan, Kabupaten, Provinsi
-3.11530065536,130.448974609,2019-09-01,01:45:00,81,terra,Bula , Kab. Seram Bagian Timur , Maluku 
-8.31071281433,124.637794495,2019-09-01,01:45:00,90,terra,Alor Selatan , Kab. Alor , Nusa Tenggara Timur 
2.06310224533,100.501609802,2019-09-01,03:23:00,89,terra,Bagan Sinembah , Kab. Rokan Hilir , Riau 
2.06068658829,100.518218994,2019-09-01,03:23:00,100,terra,Bagan Sinembah , Kab. Rokan Hilir , Riau 
2.05827689171,100.534790039,2019-09-01,03:23:00,83,terra,Bagan Sinembah , Kab. Rokan Hilir , Riau 
1.93629348278,100.660690308,2019-09-01,03:23:00,93,terra,Bagan Sinembah , Kab. Rokan Hilir , Riau 
1.93397068977,100.676742554,2019-09-01,03:23:00,87,terra,Bagan Sinembah , Kab. Rokan Hilir , Riau 
1.95034182072,100.479118347,2019-09-01,03:23:00,86,terra,Bagan Sinembah , Kab. Rokan Hilir , Riau 
1.94795656204,100.495735168,2019-09-01,03:23:00,81,terra,Bagan Sinembah , Kab. Rokan Hilir , Riau 
1.92449820042,100.659065247,2019-09-01,03:23:00,97,terra,Bagan Sinembah , Kab. Rokan Hilir , Riau 
1.92218744755,100.675140381,2019-09-01,03:23:00,94,terra,Bagan Sinembah , Kab. Rokan Hilir , Riau 
1.9127022028,100.657447815,2019-09-01,03:23:00,86,terra,Bagan Sinembah , Kab. Rokan Hilir , Riau 
1.91180932522,100.405403137,2019-09-01,03:23:00,82,terra,Bagan Sinembah , Kab. Rokan Hilir , Riau 
1.52064776421,101.153533936,2019-09-01,03:23:00,98,terra,Tanah Putih , Kab. Rokan Hilir , Riau 
1.39444184303,101.461357117,2019-09-01,03:23:00,91,terra,Mandau , Kab. Bengkalis , Riau 
0.892525672913,102.495414734,2019-09-01,03:23:00,100,terra,Tebingtinggi Barat , Kab. Kepulauan Meranti , Riau 
0.418813705444,103.492736816,2019-09-01,03:23:00,83,terra,Mandah , Kab. Indragiri Hilir , Riau 
-0.125887915492,102.402984619,2019-09-01,03:23:00,91,terra,Kuala Kampar , Kab. Pelalawan , Riau 
-0.388368874788,102.657539368,2019-09-01,03:23:00,82,terra,Rengat , Kab. Indragiri Hulu , Riau 
-2.46077680588,112.879684448,2019-09-01,03:23:00,88,terra,Kota Besi , Kab. Kotawaringin Timur , Kalimantan Tengah 
-1.28456270695,103.989891052,2019-09-01,03:23:00,82,terra,Muara Sabak , Kab. Tanjung Jabung Timur , Jambi 
-1.2873301506,104.00843811,2019-09-01,03:23:00,89,terra,Muara Sabak , Kab. Tanjung Jabung Timur , Jambi 
-1.29369843006,103.988586426,2019-09-01,03:23:00,84,terra,Muara Sabak , Kab. Tanjung Jabung Timur , Jambi 
-1.29507887363,103.99786377,2019-09-01,03:23:00,91,terra,Muara Sabak , Kab. Tanjung Jabung Timur , Jambi 
-1.29646003246,104.007133484,2019-09-01,03:23:00,97,terra,Muara Sabak , Kab. Tanjung Jabung Timur , Jambi 
