Room_T,RH,Teff,Wind_Speed
35,30,35.00,0.00
35,30,34.3,0.1
35,30,33,0.3
35,30,31.6,0.5
35,30,29.8,0.7
35,30,27.9,0.9
35,30,26.1,1.1
35,30,25,1.3
35,30,23.8,1.5
35,30,23.4,1.7
35,30,22.9,1.9
35,30,22.6,2.1
35,30,22.4,2.3
35,30,22.2,2.5
34,30,34,0.00
34,30,33.3,0.1
34,30,32,0.3
34,30,30.6,0.5
34,30,29,0.7
34,30,27.3,0.9
34,30,25.7,1.1
34,30,24.6,1.3
34,30,23.4,1.5
34,30,23,1.7
34,30,22.5,1.9
34,30,22.1,2.1
34,30,21.8,2.3
34,30,21.4,2.5
33,30,33,0.00
33,30,32.3,0.1
33,30,31,0.3
33,30,29.6,0.5
33,30,28.2,0.7
33,30,26.7,0.9
33,30,25.3,1.1
33,30,24.2,1.3
33,30,23,1.5
33,30,22.6,1.7
33,30,22.1,1.9
33,30,21.7,2.1
33,30,21.1,2.3
33,30,20.6,2.5
32,30,32,0.00
32,30,31.3,0.1
32,30,30,0.3
32,30,28.6,0.5
32,30,27.4,0.7
32,30,26.1,0.9
32,30,24.9,1.1
32,30,23.8,1.3
32,30,22.7,1.5
32,30,22.2,1.7
32,30,21.8,1.9
32,30,21.2,2.1
32,30,20.6,2.3
32,30,20,2.5
31,30,31.0,0.00
31,30,30.3,0.1
31,30,29.0,0.3
31,30,27.6,0.5
31,30,26.6,0.7
31,30,25.5,0.9
31,30,24.5,1.1
31,30,23.5,1.3
31,30,22.5,1.5
31,30,21.9,1.7
31,30,21.4,1.9
31,30,20.9,2.1
31,30,20.3,2.3
31,30,19.7,2.5
30,30,30.0,0.0
30,30,29.3,0.1
30,30,28.0,0.3
30,30,26.7,0.5
30,30,25.8,0.7
30,30,24.9,0.9
30,30,24.1,1.1
30,30,23.2,1.3
30,30,22.3,1.5
30,30,21.7,1.7
30,30,21.1,1.9
30,30,20.5,2.1
30,30,20.0,2.3
30,30,19.5,2.5
29,30,29.0,0.0
29,30,28.4,0.1
29,30,27.1,0.3
29,30,25.8,0.5
29,30,25.0,0.7
29,30,24.2,0.9
29,30,23.5,1.1
29,30,22.7,1.3
29,30,22.0,1.5
29,30,21.2,1.7
29,30,20.5,1.9
29,30,19.9,2.1
29,30,19.5,2.3
29,30,19.2,2.5
28,30,28.0,0.0
28,30,27.4,0.1
28,30,26.2,0.3
28,30,25.0,0.5
28,30,24.2,0.7
28,30,23.5,0.9
28,30,22.7,1.1
28,30,22.0,1.3
28,30,21.4,1.5
28,30,20.5,1.7
28,30,19.6,1.9
28,30,19.0,2.1
28,30,18.8,2.3
28,30,18.6,2.5
27,30,27.0,0.0
27,30,26.4,0.1
27,30,25.3,0.3
27,30,24.1,0.5
27,30,23.4,0.7
27,30,22.7,0.9
27,30,21.9,1.1
27,30,21.3,1.3
27,30,20.7,1.5
27,30,19.7,1.7
27,30,18.6,1.9
27,30,18.1,2.1
27,30,18.0,2.3
27,30,17.9,2.5
26,30,26.0,0.0
26,30,25.5,0.1
26,30,24.4,0.3
26,30,23.5,0.5
26,30,22.8,0.7
26,30,22.1,0.9
26,30,21.4,1.1
26,30,20.8,1.3
26,30,20.3,1.5
26,30,19.1,1.7
26,30,18.0,1.9
26,30,17.5,2.1
26,30,17.5,2.3
26,30,17.5,2.5
25,30,25.0,0.0
25,30,24.6,0.1
25,30,23.7,0.3
25,30,22.9,0.5
25,30,22.2,0.7
25,30,21.6,0.9
25,30,21.0,1.1
25,30,20.4,1.3
25,30,19.9,1.5
25,30,18.8,1.7
25,30,17.6,1.9
25,30,17.1,2.1
25,30,17.1,2.3
25,30,17.1,2.5
24,30,24.0,0.0
24,30,23.7,0.1
24,30,23.0,0.3
24,30,22.3,0.5
24,30,21.7,0.7
24,30,21.2,0.9
24,30,20.6,1.1
24,30,20.0,1.3
24,30,19.5,1.5
24,30,18.4,1.7
24,30,17.2,1.9
24,30,16.7,2.1
24,30,16.7,2.3
24,30,16.7,2.5
23,30,24.0,0.0
23,30,23.6,0.1
23,30,22.8,0.3
23,30,22.0,0.5
23,30,21.4,0.7
23,30,20.9,0.9
23,30,20.3,1.1
23,30,19.8,1.3
23,30,19.2,1.5
23,30,18.4,1.7
23,30,17.7,1.9
23,30,17.2,2.1
23,30,17.2,2.3
23,30,17.2,2.5
22,30,24.2,0.0
22,30,23.7,0.1
22,30,22.8,0.3
22,30,21.8,0.5
22,30,21.2,0.7
22,30,20.7,0.9
22,30,20.1,1.1
22,30,19.6,1.3
22,30,19.0,1.5
22,30,18.6,1.7
22,30,18.2,1.9
22,30,18.0,2.1
22,30,17.9,2.3
22,30,17.8,2.5
21,30,24.4,0.0
21,30,23.8,0.1
21,30,22.7,0.3
21,30,21.6,0.5
21,30,21.1,0.7
21,30,20.5,0.9
21,30,20.0,1.1
21,30,19.4,1.3
21,30,18.8,1.5
21,30,18.7,1.7
21,30,18.6,1.9
21,30,18.5,2.1
21,30,18.4,2.3
21,30,18.3,2.5
35,35,35.0,0.00
35,35,34.4,0.1
35,35,33.1,0.3
35,35,31.8,0.5
35,35,29.9,0.7
35,35,28.1,0.9
35,35,26.2,1.1
35,35,25.1,1.3
35,35,24.0,1.5
35,35,23.5,1.7
35,35,23.1,1.9
35,35,22.7,2.1
35,35,22.5,2.3
35,35,22.2,2.5
34,35,34.0,0.00
34,35,33.4,0.1
34,35,32.1,0.3
34,35,30.8,0.5
34,35,29.1,0.7
34,35,27.5,0.9
34,35,25.8,1.1
34,35,24.7,1.3
34,35,23.6,1.5
34,35,23.2,1.7
34,35,22.7,1.9
34,35,22.3,2.1
34,35,21.9,2.3
34,35,21.5,2.5
33,35,33.0,0.00
33,35,32.4,0.1
33,35,31.1,0.3
33,35,29.8,0.5
33,35,28.3,0.7
33,35,26.9,0.9
33,35,25.4,1.1
33,35,24.3,1.3
33,35,23.3,1.5
33,35,22.8,1.7
33,35,22.4,1.9
33,35,21.9,2.1
33,35,21.4,2.3
33,35,20.8,2.5
32,35,32.0,0.00
32,35,31.4,0.1
32,35,30.1,0.3
32,35,28.8,0.5
32,35,27.5,0.7
32,35,26.3,0.9
32,35,25.0,1.1
32,35,24.0,1.3
32,35,22.9,1.5
32,35,22.5,1.7
32,35,22.0,1.9
32,35,21.5,2.1
32,35,20.8,2.3
32,35,20.2,2.5
31,35,31.0,0.00
31,35,30.4,0.1
31,35,29.1,0.3
31,35,27.8,0.5
31,35,26.7,0.7
31,35,25.7,0.9
31,35,24.6,1.1
31,35,23.7,1.3
31,35,22.7,1.5
31,35,22.2,1.7
31,35,21.6,1.9
31,35,21.1,2.1
31,35,20.5,2.3
31,35,20.0,2.5
30,35,30.0,0.0
30,35,29.4,0.1
30,35,28.1,0.3
30,35,26.8,0.5
30,35,25.9,0.7
30,35,25.1,0.9
30,35,24.2,1.1
30,35,23.3,1.3
30,35,22.5,1.5
30,35,21.9,1.7
30,35,21.2,1.9
30,35,20.7,2.1
30,35,20.2,2.3
30,35,19.7,2.5
29,35,29.0,0.0
29,35,28.4,0.1
29,35,27.1,0.3
29,35,25.9,0.5
29,35,25.1,0.7
29,35,24.4,0.9
29,35,23.6,1.1
29,35,22.9,1.3
29,35,22.1,1.5
29,35,21.4,1.7
29,35,20.6,1.9
29,35,20.1,2.1
29,35,19.7,2.3
29,35,19.3,2.5
28,35,28.0,0.0
28,35,27.4,0.1
28,35,26.3,0.3
28,35,25.1,0.5
28,35,24.3,0.7
28,35,23.6,0.9
28,35,22.9,1.1
28,35,22.2,1.3
28,35,21.5,1.5
28,35,20.6,1.7
28,35,19.8,1.9
28,35,19.2,2.1
28,35,19.0,2.3
28,35,18.7,2.5
27,35,27.0,0.0
27,35,26.5,0.1
27,35,25.4,0.3
27,35,24.3,0.5
27,35,23.5,0.7
27,35,22.8,0.9
27,35,22.1,1.1
27,35,21.5,1.3
27,35,20.9,1.5
27,35,19.9,1.7
27,35,18.9,1.9
27,35,18.3,2.1
27,35,18.2,2.3
27,35,18.1,2.5
26,35,26.0,0.0
26,35,25.5,0.1
26,35,24.6,0.3
26,35,23.6,0.5
26,35,22.9,0.7
26,35,22.2,0.9
26,35,21.5,1.1
26,35,21.0,1.3
26,35,20.4,1.5
26,35,19.4,1.7
26,35,18.3,1.9
26,35,17.7,2.1
26,35,17.7,2.3
26,35,17.6,2.5
25,35,25.0,0.0
25,35,24.6,0.1
25,35,23.8,0.3
25,35,23.0,0.5
25,35,22.4,0.7
25,35,21.8,0.9
25,35,21.1,1.1
25,35,20.6,1.3
25,35,20.0,1.5
25,35,19.0,1.7
25,35,17.9,1.9
25,35,17.3,2.1
25,35,17.2,2.3
25,35,17.1,2.5
24,35,24.0,0.0
24,35,23.7,0.1
24,35,23.1,0.3
24,35,22.5,0.5
24,35,21.9,0.7
24,35,21.3,0.9
24,35,20.7,1.1
24,35,20.2,1.3
24,35,19.6,1.5
24,35,18.6,1.7
24,35,17.5,1.9
24,35,16.9,2.1
24,35,16.8,2.3
24,35,16.7,2.5
23,35,23.7,0.0
23,35,23.4,0.1
23,35,22.6,0.3
23,35,21.9,0.5
23,35,21.3,0.7
23,35,20.8,0.9
23,35,20.3,1.1
23,35,19.8,1.3
23,35,19.2,1.5
23,35,18.4,1.7
23,35,17.7,1.9
23,35,17.2,2.1
23,35,17.1,2.3
23,35,17.0,2.5
22,35,23.6,0.0
22,35,23.2,0.1
22,35,22.3,0.3
22,35,21.3,0.5
22,35,20.9,0.7
22,35,20.4,0.9
22,35,19.9,1.1
22,35,19.4,1.3
22,35,18.8,1.5
22,35,18.4,1.7
22,35,18.0,1.9
22,35,17.7,2.1
22,35,17.5,2.3
22,35,17.4,2.5
21,35,23.6,0.0
21,35,23.0,0.1
21,35,22.0,0.3
21,35,20.9,0.5
21,35,20.5,0.7
21,35,20.0,0.9
21,35,19.6,1.1
21,35,19.1,1.3
21,35,18.5,1.5
21,35,18.4,1.7
21,35,18.2,1.9
21,35,18.0,2.1
21,35,17.9,2.3
21,35,17.8,2.5
35,40,35.0,0.00
35,40,34.4,0.1
35,40,33.1,0.3
35,40,31.9,0.5
35,40,30.1,0.7
35,40,28.2,0.9
35,40,26.4,1.1
35,40,25.2,1.3
35,40,24.1,1.5
35,40,23.7,1.7
35,40,23.2,1.9
35,40,22.8,2.1
35,40,22.5,2.3
35,40,22.2,2.5
34,40,34.0,0.00
34,40,33.4,0.1
34,40,32.1,0.3
34,40,30.9,0.5
34,40,29.3,0.7
34,40,27.6,0.9
34,40,26.0,1.1
34,40,24.9,1.3
34,40,23.8,1.5
34,40,23.4,1.7
34,40,22.9,1.9
34,40,22.5,2.1
34,40,22.0,2.3
34,40,21.6,2.5
33,40,33.0,0.00
33,40,32.4,0.1
33,40,31.1,0.3
33,40,29.9,0.5
33,40,28.5,0.7
33,40,27.0,0.9
33,40,25.6,1.1
33,40,24.5,1.3
33,40,23.5,1.5
33,40,23.1,1.7
33,40,22.6,1.9
33,40,22.1,2.1
33,40,21.6,2.3
33,40,21.0,2.5
32,40,32.0,0.00
32,40,31.4,0.1
32,40,30.1,0.3
32,40,28.9,0.5
32,40,27.7,0.7
32,40,26.4,0.9
32,40,25.2,1.1
32,40,24.2,1.3
32,40,23.2,1.5
32,40,22.7,1.7
32,40,22.3,1.9
32,40,21.7,2.1
32,40,21.1,2.3
32,40,20.5,2.5
31,40,31.0,0.00
31,40,30.4,0.1
31,40,29.2,0.3
31,40,27.9,0.5
31,40,26.9,0.7
31,40,25.8,0.9
31,40,24.8,1.1
31,40,23.8,1.3
31,40,22.9,1.5
31,40,22.4,1.7
31,40,21.8,1.9
31,40,21.3,2.1
31,40,20.7,2.3
31,40,20.2,2.5
30,40,30.0,0.0
30,40,29.4,0.1
30,40,28.2,0.3
30,40,26.9,0.5
30,40,26.1,0.7
30,40,25.2,0.9
30,40,24.3,1.1
30,40,23.5,1.3
30,40,22.7,1.5
30,40,22.0,1.7
30,40,21.4,1.9
30,40,20.8,2.1
30,40,20.4,2.3
30,40,19.9,2.5
29,40,29.0,0.0
29,40,28.4,0.1
29,40,27.2,0.3
29,40,26.0,0.5
29,40,25.3,0.7
29,40,24.5,0.9
29,40,23.8,1.1
29,40,23.0,1.3
29,40,22.3,1.5
29,40,21.5,1.7
29,40,20.8,1.9
29,40,20.2,2.1
29,40,19.9,2.3
29,40,19.5,2.5
28,40,28.0,0.0
28,40,27.4,0.1
28,40,26.3,0.3
28,40,25.2,0.5
28,40,24.5,0.7
28,40,23.7,0.9
28,40,23.0,1.1
28,40,22.3,1.3
28,40,21.7,1.5
28,40,20.8,1.7
28,40,20.0,1.9
28,40,19.4,2.1
28,40,19.1,2.3
28,40,18.9,2.5
27,40,27.0,0.0
27,40,26.5,0.1
27,40,25.5,0.3
27,40,24.4,0.5
27,40,23.7,0.7
27,40,23.0,0.9
27,40,22.2,1.1
27,40,21.6,1.3
27,40,21.0,1.5
27,40,20.1,1.7
27,40,19.1,1.9
27,40,18.6,2.1
27,40,18.4,2.3
27,40,18.2,2.5
26,40,26.0,0.0
26,40,25.6,0.1
26,40,24.7,0.3
26,40,23.8,0.5
26,40,23.1,0.7
26,40,22.4,0.9
26,40,21.7,1.1
26,40,21.1,1.3
26,40,20.6,1.5
26,40,19.6,1.7
26,40,18.6,1.9
26,40,18.0,2.1
26,40,17.8,2.3
26,40,17.7,2.5
25,40,25.0,0.0
25,40,24.7,0.1
25,40,23.9,0.3
25,40,23.2,0.5
25,40,22.5,0.7
25,40,21.9,0.9
25,40,21.3,1.1
25,40,20.7,1.3
25,40,20.2,1.5
25,40,19.2,1.7
25,40,18.1,1.9
25,40,17.6,2.1
25,40,17.4,2.3
25,40,17.2,2.5
24,40,24.0,0.0
