,index,Room_T,RH,Teff,actual,predicted
0,182,22,30,24.2,0.0,0.04
1,2590,27,90,30.2,0.0,0.64
2,910,30,50,30.0,0.0,0.1
3,70,30,30,30.0,0.0,0.03
4,2394,27,85,29.7,0.0,0.48
5,924,29,50,29.0,0.0,0.1
6,2814,25,95,28.8,0.0,0.28
7,2226,26,80,28.7,0.0,0.35
8,2618,25,90,28.3,0.0,0.18
9,98,28,30,28.0,0.0,0.02
10,3038,23,100,28.0,0.0,0.28
11,728,28,45,28.0,0.0,0.1
12,2842,23,95,27.6,0.0,0.2
13,2240,25,80,27.5,0.0,0.13
14,2436,24,85,27.2,0.0,0.15
15,2856,22,95,27.0,0.0,0.22
16,322,27,35,27.0,0.0,0.05
17,2450,23,85,26.6,0.0,0.13
18,3080,20,100,26.2,0.0,0.25
19,1190,25,55,25.5,0.0,0.1
20,2268,23,80,25.5,0.0,0.33
21,196,21,30,24.4,0.0,0.03
22,2506,35,90,41.9,0.0,0.07
23,392,22,35,23.6,0.0,0.01
24,1652,22,65,23.4,0.0,0.34
25,616,21,40,22.8,0.0,0.04
26,1988,28,75,30.7,0.0,0.19
27,826,21,45,21.9,0.0,0.27
28,896,31,50,31.0,0.0,0.1
29,476,31,40,31.0,0.0,0.1
30,2940,30,100,37.7,0.0,0.14
31,2730,31,95,37.7,0.0,0.14
32,2324,32,85,37.6,0.0,0.07
33,1918,33,75,37.0,0.0,0.04
34,2142,32,80,36.9,0.0,0.05
35,2954,29,100,36.9,0.0,0.13
36,1260,35,60,36.7,0.0,0.01
37,2548,30,90,36.1,0.0,0.11
38,2156,31,80,35.5,0.0,0.08
39,840,35,50,35.0,0.0,0.08
40,1288,33,60,34.5,0.0,0.06
41,1512,32,65,34.1,0.0,0.07
42,224,34,35,34.0,0.0,0.08
43,14,34,30,34.0,0.0,0.03
44,2968,28,100,33.8,0.0,0.58
45,1078,33,55,33.7,0.0,0.1
46,1302,32,60,33.4,0.0,0.1
47,868,33,50,33.0,0.0,0.1
48,1526,31,65,32.9,0.0,0.1
49,2576,28,90,32.5,0.0,0.5
50,882,32,50,32.0,0.0,0.1
51,252,32,35,32.0,0.0,0.08
52,672,32,45,32.0,0.0,0.1
53,1106,31,55,31.6,0.0,0.1
54,1330,30,60,31.2,0.0,0.1
55,686,31,45,31.0,0.0,0.1
56,1246,21,55,21.7,0.0,0.51
57,2702,35,95,42.7,0.0,0.09
58,1037,21,50,20.7,0.1,0.78
59,1835,24,70,25.5,0.1,0.2
60,1373,27,60,27.4,0.1,0.15
61,1583,27,65,27.9,0.1,0.21
62,1709,33,70,35.5,0.1,0.07
63,1639,23,65,24.0,0.1,0.35
64,3081,20,100,26.0,0.1,0.15
65,295,29,35,28.4,0.1,0.09
66,1457,21,60,21.7,0.1,0.63
67,1793,27,70,28.3,0.1,0.27
68,1387,26,60,26.5,0.1,0.12
69,743,27,45,26.5,0.1,0.1
70,2843,23,95,27.3,0.1,0.23
71,1079,33,55,33.2,0.1,0.1
72,2577,28,90,32.1,0.1,0.55
73,2633,24,90,27.5,0.1,0.22
74,1499,33,65,34.7,0.1,0.06
75,1779,28,70,29.6,0.1,0.26
76,113,27,30,26.4,0.1,0.02
77,2451,23,85,26.4,0.1,0.18
78,141,25,30,24.6,0.1,0.01
79,1,35,30,34.3,0.1,0.06
80,2479,21,85,25.2,0.1,0.13
81,253,32,35,31.4,0.1,0.1
82,463,32,40,31.4,0.1,0.1
83,533,27,40,26.5,0.1,0.1
84,1093,32,55,32.2,0.1,0.1
85,995,24,50,23.9,0.1,0.26
86,1359,28,60,28.5,0.1,0.12
87,1009,23,50,22.7,0.1,0.45
88,2507,35,90,41.3,0.1,0.1
89,2213,27,80,29.5,0.1,0.39
90,15,34,30,33.3,0.1,0.06
91,2675,21,90,25.7,0.1,0.13
92,2913,32,100,39.7,0.1,0.14
93,701,30,45,29.4,0.1,0.1
94,2717,32,95,38.8,0.1,0.13
95,547,26,40,25.6,0.1,0.1
96,491,30,40,29.4,0.1,0.1
97,687,31,45,30.4,0.1,0.1
98,2325,32,85,37.2,0.1,0.1
99,2437,24,85,27.0,0.1,0.22
100,1737,31,70,33.1,0.1,0.1
101,1513,32,65,33.6,0.1,0.1
102,1471,35,65,36.9,0.1,0.04
103,169,23,30,23.6,0.1,0.14
104,2143,32,80,36.5,0.1,0.08
105,1303,32,60,32.9,0.1,0.1
106,1989,28,75,30.3,0.1,0.3
107,2969,28,100,33.4,0.1,0.64
108,2535,31,90,36.5,0.1,0.17
109,575,24,40,23.8,0.1,0.1
110,2578,28,90,31.4,0.3,0.65
111,2172,30,80,33.1,0.3,0.34
112,2816,25,95,28.0,0.3,0.54
113,226,34,35,32.1,0.3,0.1
114,1612,25,65,25.3,0.3,0.33
115,1290,33,60,32.9,0.3,0.13
116,422,35,40,33.1,0.3,0.1
117,436,34,40,32.1,0.3,0.1
118,1136,29,55,28.1,0.3,0.16
119,1318,31,60,30.8,0.3,0.19
120,702,30,45,28.2,0.3,0.1
121,1864,22,70,22.6,0.3,0.77
122,380,23,35,22.6,0.3,0.3
123,1430,23,60,22.9,0.3,0.63
124,156,24,30,23.0,0.3,0.3
125,478,31,40,29.2,0.3,0.1
126,688,31,45,29.2,0.3,0.1
127,1780,28,70,28.8,0.3,0.26
128,44,32,30,30.0,0.3,0.1
129,674,32,45,30.2,0.3,0.1
130,352,25,35,23.8,0.3,0.14
131,1850,23,70,23.8,0.3,0.58
132,2802,26,95,28.5,0.3,0.72
133,562,25,40,23.9,0.3,0.18
134,2494,20,85,24.0,0.3,0.31
