,index,Room_T,RH,Teff,actual,predicted
0,1049,21,50,16.1,2.5,2.25
1,1047,21,50,16.5,2.1,2.08
2,825,22,45,16.6,2.5,2.17
3,587,24,40,16.7,2.5,2.46
4,601,23,40,16.8,2.5,2.21
5,838,21,45,16.8,2.3,2.15
6,1231,23,55,16.9,2.5,2.4
7,1257,21,55,16.9,2.1,2.0
8,600,23,40,17.0,2.3,2.13
9,1455,22,60,17.0,2.5,2.26
10,615,22,40,17.0,2.5,2.28
11,1032,22,50,17.2,1.9,2.0
12,599,23,40,17.2,2.1,2.05
13,179,23,30,17.2,2.1,2.5
14,1230,23,55,17.3,2.3,2.25
15,1454,22,60,17.3,2.3,2.15
16,1217,24,55,17.3,2.5,2.45
17,836,21,45,17.3,1.9,1.93
18,1678,21,65,17.3,2.3,2.04
19,361,25,35,17.3,2.1,2.33
20,783,25,45,17.3,2.5,2.49
21,993,25,50,17.3,2.5,2.52
22,1467,21,60,17.3,2.1,1.95
23,628,21,40,17.4,2.3,2.06
24,572,25,40,17.4,2.3,2.39
25,1255,21,55,17.5,1.7,1.79
26,137,26,30,17.5,2.1,2.37
27,138,26,30,17.5,2.3,2.37
28,1888,21,70,17.6,2.3,2.03
29,1005,24,50,17.6,2.1,2.25
30,349,26,35,17.6,2.5,2.43
31,1242,22,55,17.7,1.9,1.91
32,1453,22,60,17.7,2.1,2.0
33,1677,21,65,17.7,2.1,1.9
34,1254,21,55,17.7,1.5,1.74
35,1044,21,50,17.7,1.5,1.68
36,1875,22,70,17.7,2.5,2.19
37,558,26,40,17.8,2.3,2.43
38,1651,23,65,17.8,2.5,2.26
39,2099,21,75,17.8,2.5,2.06
40,195,22,30,17.8,2.5,2.37
41,979,26,50,17.9,2.5,2.51
42,418,21,35,17.9,2.3,2.12
43,991,25,50,18.0,2.1,2.3
44,1043,21,50,18.0,1.3,1.58
45,124,27,30,18.0,2.3,2.38
46,794,24,45,18.0,1.9,2.01
47,570,25,40,18.1,1.9,2.1
48,1663,22,65,18.1,2.1,1.95
49,1887,21,70,18.1,2.1,1.85
50,1452,22,60,18.1,1.9,1.86
51,545,27,40,18.2,2.5,2.46
52,192,22,30,18.2,1.9,2.3
53,1675,21,65,18.3,1.7,1.68
54,1464,21,60,18.3,1.5,1.61
55,346,26,35,18.3,1.9,2.14
56,1861,23,70,18.3,2.5,2.18
57,333,27,35,18.3,2.1,2.35
58,1886,21,70,18.4,1.9,1.75
59,1017,23,50,18.5,1.7,1.74
60,977,26,50,18.5,2.1,2.31
61,2491,21,85,18.5,2.5,2.19
62,820,22,45,18.5,1.5,1.54
63,414,21,35,18.5,1.5,1.77
64,597,23,40,18.5,1.7,1.71
65,206,21,30,18.6,1.9,2.05
66,543,27,40,18.6,2.1,2.3
67,1412,25,60,18.6,2.3,2.27
68,1399,26,60,18.6,2.5,2.47
69,2305,21,80,18.7,1.7,1.94
70,2095,21,75,18.7,1.7,1.75
71,1636,24,65,18.8,2.3,2.09
72,2083,22,75,18.8,2.1,1.95
73,149,25,30,18.8,1.7,2.09
74,1187,26,55,18.9,2.1,2.26
75,531,28,40,18.9,2.5,2.37
76,332,27,35,18.9,1.9,2.1
77,320,28,35,19.0,2.3,2.27
78,1411,25,60,19.0,2.1,2.12
79,793,24,45,19.0,1.7,1.68
80,109,28,30,19.0,2.1,2.19
81,1872,22,70,19.0,1.9,1.73
82,831,21,45,19.0,0.9,1.31
83,135,26,30,19.1,1.7,2.03
84,2293,22,80,19.1,2.1,2.05
85,1450,22,60,19.1,1.5,1.53
86,530,28,40,19.1,2.3,2.3
87,1239,22,55,19.1,1.3,1.46
88,806,23,45,19.2,1.5,1.46
89,2070,23,75,19.2,2.3,2.06
90,569,25,40,19.2,1.7,1.72
91,1174,27,55,19.2,2.3,2.35
92,1003,24,50,19.2,1.7,1.68
93,1397,26,60,19.3,2.1,2.21
94,1648,23,65,19.3,1.9,1.72
